Land;UN_AfricanGroup;UN_AsiaGroup;UN_EastEUGroup;UN_LatinAmerica;UN_WestEuropeGroup;ArabischeLiga;ASEAN;Benelux;BRICS;G4;G8;G8_5;G20;Next11;OPAC;Mercosur;P5;Visegrad
afghanistan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ägypten;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
albanien;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
algerien;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
andorra;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
angola;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
argentinien;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
armenien;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aserbaidschan;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
äthiopien;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
australien;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
bahamas;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bahrain;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bangladesch;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
belarus;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
belgien;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
belize;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
benin;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bolivien;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bosnien und herzegowina;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
botsuana;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
brasilien;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;0
brunei;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
bulgarien;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burkina faso;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
burundi;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chile;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
china;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
costa rica;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dänemark;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
demokratische republik kongo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
deutschland;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0
dschibuti;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ecuador;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
el salvador;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
elfenbeinküste;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
eritrea;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
estland;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
finnland;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
frankreich;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0
gabun;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
gambia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
georgien;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ghana;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
grenada;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
griechenland;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
guatemala;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guinea;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guyana;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
haiti;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
honduras;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hongkong;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
indien;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0
indonesien;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0
irak;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
iran;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
irland;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
island;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
israel;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
italien;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0
jamaika;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
japan;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
jemen;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
jordanien;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
kambodscha;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
kamerun;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kanada;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0
kasachstan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
katar;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
kenia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kirgisistan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kolumbien;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kongo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
kroatien;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kuba;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kuwait;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
laos;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
lesotho;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lettland;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
libanon;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
liberia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
libyen;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
liechtenstein;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
litauen;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
luxemburg;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
madagaskar;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
malawi;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
malaysia;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
malediven;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mali;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
malta;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
marokko;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
mauretanien;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
mauritius;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mazedonien;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mexiko;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0
moldau;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
monaco;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
mongolei;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
montenegro;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mosambik;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
myanmar;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
namibia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nepal;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
neuseeland;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
nicaragua;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
niederlande;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
niger;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nigeria;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
nordkorea;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
norwegen;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
oman;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
österreich;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
pakistan;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
panama;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
papua neuguinea;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
paraguay;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
peru;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
philippinen;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
polen;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
portugal;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ruanda;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rumänien;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
russland;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0
sambia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
san marino;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
saudi arabien;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0
schweden;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
schweiz;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
senegal;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
serbien;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
seychellen;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sierra leone;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
simbabwe;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
singapur;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
slowakei;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
slowenien;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
somalia;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
spanien;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
sri lanka;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
südafrika;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0
sudan;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
südkorea;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
südsudan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
swasiland;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
syrien;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tadschikistan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
taiwan;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
tansania;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
thailand;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
togo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
trinidad und tobago;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tschad;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tschechien;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
tunesien;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
türkei;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
turkmenistan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tuvalu;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
uganda;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ukraine;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ungarn;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
uruguay;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
usa;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0
usbekistan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
venezuela;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
vereinigte arabische emirate;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
vereinigtes königreich;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0
vietnam;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
zentralafrikanische republik;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
zypern;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
